id,model,parameters,columns,transformers,column_transforms,valid_strategy,one_fold,observation,post_accuracy,post_precision,post_recall,post_error,user_accuracy,user_precision,user_recall,user_error
0,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 7.0, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.281,0.47600000000000003,0.40700000000000003,0.18899999999999997,0.34600000000000003,0.585,0.45899999999999996,0.163
1,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 500, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.28,0.452,0.424,0.171,0.369,0.573,0.509,0.156
2,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 1.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.29600000000000004,0.494,0.425,0.18100000000000002,0.37799999999999995,0.598,0.508,0.151
3,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 50, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.28600000000000003,0.46,0.4320000000000001,0.175,0.33,0.529,0.468,0.188
4,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 200, 'random_state': 42, 'num_leaves': 64}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.292,0.474,0.433,0.17600000000000002,0.36,0.569,0.495,0.142
5,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.1, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.301,0.418,0.518,0.083,0.344,0.464,0.57,0.096
6,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 128, 'colsample_bytree': 0.8}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.282,0.456,0.425,0.17800000000000002,0.353,0.5720000000000001,0.48,0.156
7,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 128, 'colsample_bytree': 0.8}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.462,0.424,0.183,0.34600000000000003,0.557,0.478,0.163
8,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"{'n_estimators': 500, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.308,0.5,0.445,0.171,0.374,0.562,0.528,0.147
9,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,"{'n_estimators': 100, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.303,0.498,0.4370000000000001,0.189,0.378,0.623,0.491,0.19
10,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 100, 'random_state': 42, 'num_leaves': 64}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.289,0.47100000000000003,0.429,0.17600000000000002,0.358,0.569,0.491,0.163
11,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 10.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.28300000000000003,0.4920000000000001,0.401,0.198,0.353,0.604,0.46,0.174
12,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 2)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.28,0.456,0.42,0.179,0.337,0.563,0.457,0.174
13,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 350, 'random_state': 42}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.467,0.421,0.185,0.342,0.56,0.467,0.179
14,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 3.0, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 3), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.28600000000000003,0.473,0.419,0.184,0.36200000000000004,0.57,0.498,0.163
15,<class 'sklearn.svm._classes.SVC'>,"{'C': 0.1, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.298,0.419,0.509,0.092,0.342,0.463,0.5670000000000001,0.103
16,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 100, 'random_state': 42, 'num_leaves': 64}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 7)}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.45899999999999996,0.426,0.182,0.33299999999999996,0.541,0.46299999999999997,0.19
17,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 7.0, 'random_state': 42}","['social_prepocessed_text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.494,0.401,0.196,0.35100000000000003,0.607,0.454,0.177
18,<class 'sklearn.linear_model._logistic.LogisticRegression'>,"{'C': 5.0, 'random_state': 42}","['text', 'happy', 'angry', 'surprise', 'sad', 'fear']","[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 1), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.297,0.485,0.434,0.184,0.35100000000000003,0.569,0.478,0.161
19,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 200, 'random_state': 42}",['text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5), 'token_pattern': '(?u)\\b\\w\\w+\\b|!|,|.|\\?|\\""|\\\''}, 'columns': 'text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.462,0.425,0.183,0.353,0.564,0.486,0.163
20,<class 'lightgbm.sklearn.LGBMClassifier'>,"{'n_estimators': 300, 'random_state': 42, 'num_leaves': 64, 'colsample_bytree': 0.8}",['social_prepocessed_text'],"[{'name': 'word_tfidf', 'algorithm': <class 'sklearn.feature_extraction.text.TfidfVectorizer'>, 'parameters': {'analyzer': 'word', 'ngram_range': (1, 5)}, 'columns': 'social_prepocessed_text'}]","{'remainder': StandardScaler(copy=True, with_mean=True, with_std=True), 'n_jobs': -1}",1,False,BayesianOptimizationOOF,0.284,0.45399999999999996,0.431,0.18100000000000002,0.38299999999999995,0.607,0.509,0.172
